Directory,File,Validation,Id,Id_avant validation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Site,Machine,Opérateur,Projet,Habitat1,Habitat2
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170310_202056_382.wav,C. Brabant,ChiroSp,ChiroSp,Main,Barbar,2,Barbar,0,2017,3,10,20,20,10/03/2017,20:20,10/03/2017,A-DASY,1,38,0,5,1,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170310_203317_812.wav,C. Brabant,Nyclei,ENVsp,Main,ENVsp,10,Eptser,1,2017,3,10,20,33,10/03/2017,20:33,10/03/2017,A-DASY,12,25,426,7,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170310_203322_812.wav,C. Brabant,Eptser,ENVsp,Main,ENVsp,10,Vesmur,0,2017,3,10,20,33,10/03/2017,20:33,10/03/2017,A-DASY,7,24,151,6,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170310_213949_363.wav,C. Brabant,Pipnat,ChiroSp,Main,Pip35,4,Pipnat,2,2017,3,10,21,39,10/03/2017,21:39,10/03/2017,A-DASY,10,42,169,9,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170310_234712_711.wav,C. Brabant,Myosp,Myosp,Main,Myosp,9,Myodau,1,2017,3,10,23,47,10/03/2017,23:47,10/03/2017,A-DASY,66,40,68,5,1,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170311_013753_157.wav,C. Brabant,Myosp,Myosp,Main,Myosp,9,Myodau,2,2017,3,11,1,37,11/03/2017,1:37,10/03/2017,A-DASY,40,43,87,5,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170311_015724_526.wav,C. Brabant,Myodau,Myosp,Main,Myosp,10,Myodau,0,2017,3,11,1,57,11/03/2017,1:57,10/03/2017,A-DASY,62,41,71,5,2,1,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170311_191702_821.wav,P. Nyssen,PippiT,PippiT,Main,Pip50,10,PippiT,10,2017,3,11,19,17,11/03/2017,19:17,11/03/2017,A-DASY,39,44,97,7,2,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170311_192122_331.wav,C. Brabant,Nycnoc,Nycnoc,Main,ENVsp,10,Nycnoc,7,2017,3,11,19,21,11/03/2017,19:21,11/03/2017,A-DASY,13,20,380,10,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170311_195845_643.wav,C. Brabant,Pipnat,Pipnat,Main,Pip35,10,Pipnat,8,2017,3,11,19,58,11/03/2017,19:58,11/03/2017,A-DASY,19,40,180,8,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170311_205932_117.wav,C. Brabant,Nyclei,ENVsp,Secondary,ENVsp,8,Nyclei,3,2017,3,11,20,59,11/03/2017,20:59,11/03/2017,A-DASY,3,24,0,6,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170311_225144_739.wav,C. Brabant,Myodau,Myosp,Main,Myosp,7,Myodau,2,2017,3,11,22,51,11/03/2017,22:51,11/03/2017,A-DASY,79,43,66,5,4,8,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170311_225214_127.wav,C. Brabant,ChiroSp,ChiroSp,Main,Barbar,0,Barbar,0,2017,3,11,22,52,11/03/2017,22:52,11/03/2017,A-DASY,1,41,0,5,1,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170311_233433_229.wav,P. Nyssen,Myosp,ChiroSp,Main,Myosp,2,Myodas,0,2017,3,11,23,34,11/03/2017,23:34,11/03/2017,A-DASY,45,34,84,5,3,2,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170312_191221_256.wav,C. Brabant,ChiroSp,ChiroSp,Main,Rhisp,0,Rhifer,0,2017,3,12,19,12,12/03/2017,19:12,12/03/2017,A-DASY,1,41,0,6,2,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170312_192249_973.wav,C. Brabant,Nycnoc,Nycnoc,Main,ENVsp,10,Nycnoc,7,2017,3,12,19,22,12/03/2017,19:22,12/03/2017,A-DASY,12,20,428,10,2,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170312_192515_560.wav,C. Brabant,Pipnat,Pipnat,Main,Pip35,10,Pipnat,10,2017,3,12,19,25,12/03/2017,19:25,12/03/2017,A-DASY,23,40,171,10,2,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170312_195655_020.wav,C. Brabant,Myodau,Myosp,Main,Myosp,7,Myodau,1,2017,3,12,19,56,12/03/2017,19:56,12/03/2017,A-DASY,40,41,100,6,4,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170312_201459_564.wav,P. Nyssen,ChiroSp,ChiroSp,Main,Myosp,0,Myodas,0,2017,3,12,20,14,12/03/2017,20:14,12/03/2017,A-DASY,8,33,0,4,2,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170312_201504_564.wav,P. Nyssen,ChiroSp,ChiroSp,Main,Myosp,1,Myodas,1,2017,3,12,20,15,12/03/2017,20:15,12/03/2017,A-DASY,5,34,84,5,2,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170312_222339_336.wav,C. Brabant,ChiroSp,ChiroSp,Main,Barbar,4,Barbar,4,2017,3,12,22,23,12/03/2017,22:23,12/03/2017,A-DASY,1,40,0,5,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170312_234951_932.wav,P. Nyssen,Myosp,ChiroSp,Main,Myosp,4,Myodas,0,2017,3,12,23,49,12/03/2017,23:49,12/03/2017,A-DASY,22,37,87,6,1,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170313_002302_082.wav,P. Nyssen,ChiroSp,ChiroSp,Main,Myosp,1,Myodas,1,2017,3,13,0,23,13/03/2017,0:23,12/03/2017,A-DASY,1,37,0,4,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170313_004401_525.wav,C. Brabant et P. Nyssen,Myosp,ChiroSp,Main,Myosp,4,Myobec,4,2017,3,13,0,44,13/03/2017,0:44,12/03/2017,A-DASY,20,38,90,6,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170313_004901_335.wav,P. Nyssen,Myodau,Myosp,Main,Myosp,6,Myodau,0,2017,3,13,0,49,13/03/2017,0:49,12/03/2017,A-DASY,85,40,50,5,6,9,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170313_004906_335.wav,P. Nyssen,Myodau,Myosp,Main,Myosp,8,Myobec,4,2017,3,13,0,49,13/03/2017,0:49,12/03/2017,A-DASY,9,38,271,5,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170313_004926_925.wav,P. Nyssen,ChiroSp,ChiroSp,Main,Myosp,0,Myodas,0,2017,3,13,0,49,13/03/2017,0:49,12/03/2017,A-DASY,31,37,0,5,2,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170313_010336_599.wav,P. Nyssen,ChiroSp,ChiroSp,Main,Myosp,1,Myodas,1,2017,3,13,1,3,13/03/2017,1:03,12/03/2017,A-DASY,1,38,0,6,2,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170313_194211_531.wav,C. Brabant,Nycnoc,Nycnoc,Main,ENVsp,10,Nycnoc,10,2017,3,13,19,42,13/03/2017,19:42,13/03/2017,A-DASY,8,20,353,10,2,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170313_195132_790.wav,C. Brabant,Myosp,Myosp,Main,Myosp,8,Myodau,1,2017,3,13,19,51,13/03/2017,19:51,13/03/2017,A-DASY,22,43,100,5,2,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170314_003748_300.wav,C. Brabant,Myodau,Myosp,Main,Myosp,8,Myodau,1,2017,3,14,0,37,14/03/2017,0:37,13/03/2017,A-DASY,51,41,85,6,2,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170314_201711_189.wav,C. Brabant,ChiroSp,ChiroSp,Main,ENVsp,0,Eptser,0,2017,3,14,20,17,14/03/2017,20:17,14/03/2017,A-DASY,2,30,0,4,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170314_204449_974.wav,P. Nyssen,ChiroSp,ChiroSp,Main,Myosp,1,Myodas,1,2017,3,14,20,44,14/03/2017,20:44,14/03/2017,A-DASY,7,31,84,5,6,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170314_223623_824.wav,C. Brabant,Pipnat,Pipnat,Main,Pip35,8,Pipnat,8,2017,3,14,22,36,14/03/2017,22:36,14/03/2017,A-DASY,24,41,177,10,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170314_224444_985.wav,P. Nyssen,Myodau,Myosp,Main,Myosp,8,Myobec,4,2017,3,14,22,44,14/03/2017,22:44,14/03/2017,A-DASY,45,35,102,6,4,4,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170314_224449_985.wav,P. Nyssen,Myodau,Myosp,Main,Myosp,6,Myobec,2,2017,3,14,22,44,14/03/2017,22:44,14/03/2017,A-DASY,36,38,98,6,1,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170314_225653_848.wav,C. Brabant,Myodau,Myosp,Main,Myosp,10,Myodau,1,2017,3,14,22,56,14/03/2017,22:56,14/03/2017,A-DASY,27,40,85,6,1,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170315_022810_997.wav,C. Brabant,Myodau,Myosp,Main,Myosp,10,Myodau,2,2017,3,15,2,28,15/03/2017,2:28,14/03/2017,A-DASY,72,43,74,5,3,5,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170315_192832_384.wav,C. Brabant,Nycnoc,Nycnoc,Main,ENVsp,10,Nycnoc,9,2017,3,15,19,28,15/03/2017,19:28,15/03/2017,A-DASY,12,21,268,10,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170315_194342_061.wav,C. Brabant,Pipnat,Pipnat,Main,Pip35,10,Pipnat,9,2017,3,15,19,43,15/03/2017,19:43,15/03/2017,A-DASY,30,39,122,10,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170315_222042_846.wav,C. Brabant,ChiroSp,ChiroSp,Main,Barbar,2,Barbar,1,2017,3,15,22,20,15/03/2017,22:20,15/03/2017,A-DASY,4,37,335,6,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170315_231742_205.wav,C. Brabant,Myosp,ChiroSp,Main,Myosp,5,Myobec,5,2017,3,15,23,17,15/03/2017,23:17,15/03/2017,A-DASY,11,39,159,6,1,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170315_235715_002.wav,C. Brabant et P. Nyssen,Myosp,ChiroSp,Main,Myosp,4,Myobec,4,2017,3,15,23,57,15/03/2017,23:57,15/03/2017,A-DASY,24,38,87,6,5,2,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170316_000918_483.wav,C. Brabant,ChiroSp,ChiroSp,Main,Barbar,2,Barbar,1,2017,3,16,0,9,16/03/2017,0:09,15/03/2017,A-DASY,1,41,0,5,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170316_000946_601.wav,C. Brabant,ChiroSp,ChiroSp,Main,Barbar,1,Barbar,1,2017,3,16,0,9,16/03/2017,0:09,15/03/2017,A-DASY,1,38,0,5,1,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
