Filename,Label,LabelTimeStamp,Spec_NStep,Spec_NWin,Spec_x1,Spec_y1,Spec_x2,Spec_y2,LabelStartTime_Seconds,LabelEndTime_Seconds,LabelArea_DataPoints,DetectorConfidence
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,0.0,0,1.0,576.0,0.0,0.001,,0.632
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,103.529,0,104.529,576.0,0.104,0.105,,0.893
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,277.647,0,278.647,576.0,0.278,0.279,,0.626
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,381.176,0,382.176,576.0,0.381,0.382,,0.668
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,386.412,0,387.412,576.0,0.386,0.387,,0.939
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,508.765,0,509.765,576.0,0.509,0.51,,0.966
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,640.529,0,641.529,576.0,0.641,0.642,,0.917
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,758.176,0,759.176,576.0,0.758,0.759,,0.95
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,754.0,0,755.0,576.0,0.754,0.755,,0.979
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,862.235,0,863.235,576.0,0.862,0.863,,0.91
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,984.588,0,985.588,576.0,0.985,0.986,,0.877
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,1097.529,0,1098.529,576.0,1.098,1.099,,0.993
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,1149.824,0,1150.824,576.0,1.15,1.151,,0.113
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,1267.471,0,1268.471,576.0,1.267,1.268,,0.998
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,1394.529,0,1395.529,576.0,1.395,1.396,,0.914
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,1512.177,0,1513.177,576.0,1.512,1.513,,0.991
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,1508.0,0,1509.0,576.0,1.508,1.509,,0.921
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,1625.647,0,1626.647,576.0,1.626,1.627,,0.984
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,1738.588,0,1739.588,576.0,1.739,1.74,,0.98
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,1846.824,0,1847.824,576.0,1.847,1.848,,1.0
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,2082.647,0,2083.647,576.0,2.083,2.084,,0.933
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,2276.118,0,2277.118,576.0,2.276,2.277,,0.99
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,2384.353,0,2385.353,576.0,2.384,2.385,,0.987
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,2483.177,0,2484.177,576.0,2.483,2.484,,0.972
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,2591.412,0,2592.412,576.0,2.591,2.592,,0.956
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,2704.882,0,2705.882,576.0,2.705,2.706,,0.965
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,2822.529,0,2823.529,576.0,2.823,2.824,,0.975
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,2940.176,0,2941.176,576.0,2.94,2.941,,0.987
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,3044.235,0,3045.235,576.0,3.044,3.045,,0.984
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,3143.059,0,3144.059,576.0,3.143,3.144,,0.961
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,3246.588,0,3247.588,576.0,3.247,3.248,,0.977
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,3397.176,0,3398.176,576.0,3.397,3.398,,0.916
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,3393.0,0,3394.0,576.0,3.393,3.394,,0.876
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,3411.824,0,3412.824,576.0,3.412,3.413,,0.832
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,3458.883,0,3459.883,576.0,3.459,3.46,,0.692
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,3487.118,0,3488.118,576.0,3.487,3.488,,0.391
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,3585.941,0,3586.941,576.0,3.586,3.587,,0.185
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,3609.471,0,3610.471,576.0,3.609,3.61,,0.212
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,3628.294,0,3629.294,576.0,3.628,3.629,,0.29
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,3713.0,0,3714.0,576.0,3.713,3.714,,0.852
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,3972.353,0,3973.353,576.0,3.972,3.973,,0.939
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,4066.471,0,4067.471,576.0,4.066,4.067,,0.895
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,4094.706,0,4095.706,576.0,4.095,4.096,,0.201
/A-DASY_20170314_224444_985.wav,bat,2020-03-31T21:10:24.639510,0.001,0.003,4184.647,0,4185.647,576.0,4.185,4.186,,0.994
