Filename,Label,LabelTimeStamp,Spec_NStep,Spec_NWin,Spec_x1,Spec_y1,Spec_x2,Spec_y2,LabelStartTime_Seconds,LabelEndTime_Seconds,LabelArea_DataPoints,DetectorConfidence
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,42.353,0,43.353,576.0,0.042,0.043,,0.416
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,61.176,0,62.176,576.0,0.061,0.062,,0.189
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,98.824,0,99.824,576.0,0.099,0.1,,0.285
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,141.176,0,142.176,576.0,0.141,0.142,,0.174
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,169.412,0,170.412,576.0,0.169,0.17,,0.184
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,235.294,0,236.294,576.0,0.235,0.236,,0.888
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,258.824,0,259.824,576.0,0.259,0.26,,0.284
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,391.118,0,392.118,576.0,0.391,0.392,,0.324
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,419.353,0,420.353,576.0,0.419,0.42,,0.596
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,457.0,0,458.0,576.0,0.457,0.458,,0.362
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,504.059,0,505.059,576.0,0.504,0.505,,0.431
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,593.471,0,594.471,576.0,0.593,0.594,,1.0
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,640.529,0,641.529,576.0,0.641,0.642,,0.344
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,697.0,0,698.0,576.0,0.697,0.698,,0.571
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,725.235,0,726.235,576.0,0.725,0.726,,0.21
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,796.353,0,797.353,576.0,0.796,0.797,,0.993
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,819.882,0,820.882,576.0,0.82,0.821,,0.254
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,881.059,0,882.059,576.0,0.881,0.882,,0.179
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,923.412,0,924.412,576.0,0.923,0.924,,0.197
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,965.765,0,966.765,576.0,0.966,0.967,,0.999
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,1074.0,0,1075.0,576.0,1.074,1.075,,1.0
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,1102.235,0,1103.235,576.0,1.102,1.103,,0.171
/B-DASY_20170314_192319_119.wav,bat,2020-03-31T21:10:42.688492,0.001,0.003,1173.353,0,1174.353,576.0,1.173,1.174,,1.0
