Filename,Label,LabelTimeStamp,Spec_NStep,Spec_NWin,Spec_x1,Spec_y1,Spec_x2,Spec_y2,LabelStartTime_Seconds,LabelEndTime_Seconds,LabelArea_DataPoints,DetectorConfidence
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,0.0,0,1.0,576.0,0.0,0.001,,0.325
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,84.706,0,85.706,576.0,0.085,0.086,,0.778
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,169.412,0,170.412,576.0,0.169,0.17,,0.718
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,258.824,0,259.824,576.0,0.259,0.26,,0.792
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,343.529,0,344.529,576.0,0.344,0.345,,0.876
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,433.471,0,434.471,576.0,0.433,0.434,,0.779
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,527.588,0,528.588,576.0,0.528,0.529,,0.954
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,621.706,0,622.706,576.0,0.622,0.623,,0.779
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,715.824,0,716.824,576.0,0.716,0.717,,0.732
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,876.353,0,877.353,576.0,0.876,0.877,,0.988
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,979.882,0,980.882,576.0,0.98,0.981,,0.895
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,1074.0,0,1075.0,576.0,1.074,1.075,,0.926
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,1163.941,0,1164.941,576.0,1.164,1.165,,0.927
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,1253.353,0,1254.353,576.0,1.253,1.254,,0.971
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,1319.235,0,1320.235,576.0,1.319,1.32,,0.933
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,1385.118,0,1386.118,576.0,1.385,1.386,,0.711
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,1436.882,0,1437.882,576.0,1.437,1.438,,0.76
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,1493.353,0,1494.353,576.0,1.493,1.494,,0.677
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,1550.353,0,1551.353,576.0,1.55,1.551,,0.992
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,1630.353,0,1631.353,576.0,1.63,1.631,,0.944
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,1719.765,0,1720.765,576.0,1.72,1.721,,0.984
/C-DASY_20170311_215311_089.wav,bat,2020-03-31T21:10:53.108784,0.001,0.003,1823.294,0,1824.294,576.0,1.823,1.824,,0.974
